price,carpet_area,bedroom,bathroom,transaction_type,floor_category,luxury_category,property_type,regions,balconies_iter,furnished_status_imputed,additional_room
1.27,845.0,2.0,2.0,resale,High Floor,Low,flat,bangalore,2.0,0,1.0
2.1,640.0,2.0,2.0,resale,High Floor,Medium,flat,mumbai,2.0,1,0.0
0.7,1288.0,3.0,2.0,resale,High Floor,Medium,flat,noida,3.0,0,0.0
0.98,1350.0,3.0,2.0,resale,Mid Floor,Medium,flat,bangalore,3.0,1,0.0
2.15,1050.0,2.0,2.0,resale,High Floor,Medium,flat,pune,2.0,2,0.0
0.6,706.0,2.0,2.0,resale,Low Floor,Low,flat,navi mumbai,2.0,2,0.0
3.83,1313.0,3.0,3.0,resale,High Floor,Low,flat,thane,3.0,2,1.0
4.3,1853.0,4.0,4.0,new property,High Floor,Medium,flat,bangalore,3.0,0,1.0
0.79,803.0,2.0,2.0,resale,Mid Floor,Low,flat,beyond thane,2.0,0,0.0
0.4,900.0,2.0,2.0,resale,Low Floor,Low,builder-floor,noida,2.0,1,0.0
0.65,540.0,2.0,2.0,resale,Mid Floor,Low,flat,thane,2.0,0,0.0
3.8,1910.0,3.0,4.0,resale,High Floor,High,flat,gurgaon,3.0,0,1.0
1.0,810.0,2.0,2.0,resale,Mid Floor,Low,flat,thane,2.0,0,0.0
0.45,892.0,2.0,2.0,resale,Low Floor,Low,builder-floor,bangalore,2.0,0,0.0
1.0,827.0,2.0,2.0,resale,Mid Floor,Low,builder-floor,beyond thane,2.0,2,0.0
0.45,1000.0,2.0,2.0,resale,Low Floor,Low,flat,bangalore,2.0,0,1.0
1.25,1334.0,3.0,3.0,new property,High Floor,Low,flat,bangalore,3.0,0,1.0
1.25,1005.0,3.0,3.0,resale,Mid Floor,Medium,flat,pune,2.0,1,0.0
0.47,810.0,2.0,2.0,resale,Low Floor,Low,flat,new delhi,2.0,1,0.0
0.35,650.0,2.0,2.0,resale,Low Floor,Low,flat,beyond thane,2.0,0,0.0
6.8,1784.0,4.0,4.0,resale,Mid Floor,Medium,flat,bangalore,3.0,2,1.0
0.65,684.0,2.0,2.0,resale,Low Floor,Low,flat,beyond thane,2.0,2,0.0
1.57,1246.0,3.0,3.0,new property,High Floor,Low,flat,pune,3.0,0,0.0
2.3,1682.0,3.0,3.0,resale,High Floor,Medium,flat,bangalore,3.0,1,0.0
0.53,759.0,2.0,2.0,resale,Mid Floor,Low,flat,pune,2.0,0,0.0
9.5,1430.0,3.0,3.0,resale,Mid Floor,Medium,flat,mumbai,3.0,2,1.0
2.52,2352.0,5.0,5.0,resale,High Floor,Medium,flat,gurgaon,4.0,1,0.0
0.69,678.0,2.0,2.0,resale,Low Floor,Medium,flat,bangalore,2.0,0,0.0
0.87,985.0,2.0,2.0,resale,Mid Floor,Low,flat,noida,2.0,1,0.0
0.65,644.0,2.0,2.0,resale,High Floor,Low,flat,greater noida,2.0,2,0.0
1.27,1028.0,3.0,2.0,resale,Mid Floor,Low,flat,gurgaon,3.0,0,0.0
4.15,996.0,3.0,3.0,resale,High Floor,Medium,flat,navi mumbai,3.0,1,0.0
3.1,1700.0,3.0,3.0,resale,Mid Floor,Medium,flat,gurgaon,3.0,0,1.0
2.85,880.0,3.0,3.0,resale,High Floor,Medium,flat,mumbai,3.0,1,0.0
1.07,379.0,2.0,2.0,resale,High Floor,Low,flat,thane,2.0,0,0.0
1.27,685.0,2.0,2.0,resale,High Floor,Low,flat,thane,2.0,1,0.0
0.6,734.0,2.0,2.0,resale,Mid Floor,Low,flat,beyond thane,2.0,1,0.0
1.3,2000.0,3.0,3.0,resale,Mid Floor,Medium,flat,bangalore,2.0,2,0.0
5.49,2150.0,3.0,4.0,new property,Low Floor,Low,builder-floor,new delhi,3.0,0,1.0
1.35,835.0,2.0,2.0,resale,Mid Floor,Low,flat,thane,2.0,1,0.0
0.67,870.0,3.0,3.0,new property,Low Floor,Medium,flat,noida,3.0,1,0.0
3.55,1557.0,4.0,4.0,new property,High Floor,Low,residential,gurgaon,4.0,1,1.0
0.6,904.0,2.0,2.0,resale,Mid Floor,Low,flat,bangalore,2.0,2,0.0
0.95,675.0,2.0,2.0,resale,Mid Floor,Low,flat,navi mumbai,2.0,0,0.0
1.2,938.0,3.0,4.0,resale,Mid Floor,Low,flat,greater noida,4.0,1,0.0
1.2,719.0,2.0,2.0,resale,Mid Floor,Low,flat,thane,2.0,0,0.0
0.99,707.0,2.0,2.0,resale,Low Floor,Low,flat,gurgaon,2.0,0,1.0
1.56,673.0,2.0,2.0,new property,Mid Floor,Medium,flat,navi mumbai,2.0,0,1.0
6.25,3200.0,4.0,5.0,new property,Mid Floor,Low,builder-floor,gurgaon,2.0,0,1.0
1.75,708.0,2.0,2.0,resale,High Floor,Low,flat,thane,2.0,0,0.0
2.65,4800.0,10.0,6.0,resale,Low Floor,High,residential,bangalore,3.0,1,0.0
2.6,1288.0,3.0,3.0,new property,Mid Floor,Medium,flat,pune,3.0,0,1.0
0.5,600.0,2.0,2.0,resale,High Floor,Low,flat,beyond thane,2.0,0,0.0
0.7,576.0,2.0,2.0,resale,Mid Floor,Low,flat,navi mumbai,2.0,1,0.0
0.45,735.0,3.0,3.0,resale,Mid Floor,Medium,flat,navi mumbai,3.0,0,0.0
1.15,539.0,2.0,2.0,new property,High Floor,Low,flat,mumbai,2.0,0,0.0
0.85,1000.0,3.0,2.0,resale,Low Floor,Low,flat,noida,3.0,2,1.0
1.6,2100.0,3.0,3.0,resale,Mid Floor,Medium,penthouse,bangalore,3.0,0,0.0
0.38,740.0,2.0,2.0,resale,Mid Floor,Low,flat,beyond thane,2.0,0,0.0
1.0,841.0,2.0,2.0,resale,High Floor,Medium,flat,greater noida,3.0,2,0.0
0.8,947.0,3.0,2.0,resale,Mid Floor,Low,flat,noida,2.0,0,1.0
1.7,1128.0,3.0,3.0,resale,Low Floor,Medium,residential,bangalore,3.0,2,0.0
9.0,3060.0,4.0,5.0,new property,Low Floor,Medium,builder-floor,new delhi,3.0,1,1.0
0.45,450.0,2.0,2.0,resale,High Floor,Low,residential,new delhi,2.0,0,0.0
0.75,1079.0,2.0,3.0,resale,Low Floor,Medium,residential,beyond thane,3.0,1,0.0
1.2,1100.0,2.0,2.0,resale,Low Floor,Low,flat,bangalore,2.0,1,0.0
1.75,1186.0,3.0,3.0,resale,Low Floor,Low,flat,bangalore,3.0,2,0.0
0.83,717.0,2.0,2.0,resale,Mid Floor,Low,flat,pune,2.0,2,0.0
1.25,1475.0,3.0,2.0,resale,Low Floor,Low,builder-floor,greater noida,3.0,1,0.0
5.8,1764.0,3.0,3.0,resale,High Floor,Medium,villa,bangalore,3.0,1,1.0
2.01,900.0,4.0,4.0,new property,Mid Floor,Low,flat,pune,3.0,0,0.0
0.7,750.0,2.0,2.0,resale,Mid Floor,Low,flat,pune,2.0,0,1.0
0.35,850.0,2.0,2.0,resale,Low Floor,Low,flat,bangalore,2.0,0,0.0
0.28,590.0,2.0,2.0,resale,Low Floor,Low,flat,beyond thane,2.0,0,1.0
1.05,815.0,3.0,3.0,resale,High Floor,Low,flat,pune,2.0,0,0.0
1.25,1500.0,3.0,3.0,new property,Low Floor,Medium,builder-floor,new delhi,2.0,1,0.0
0.7,774.0,2.0,2.0,new property,Mid Floor,Low,flat,bangalore,2.0,0,0.0
0.94,710.0,2.0,2.0,new property,High Floor,Medium,flat,navi mumbai,2.0,0,0.0
0.55,606.0,2.0,2.0,resale,Low Floor,Low,flat,greater noida,2.0,0,0.0
0.8,1244.0,3.0,3.0,resale,Mid Floor,Medium,flat,bangalore,3.0,0,0.0
8.35,2100.0,3.0,4.0,resale,High Floor,High,flat,mumbai,4.0,0,1.0
1.6,936.0,3.0,3.0,resale,Mid Floor,Low,flat,navi mumbai,3.0,0,0.0
0.55,790.0,2.0,2.0,resale,Low Floor,Low,flat,bangalore,2.0,1,1.0
1.3,1220.0,4.0,2.0,resale,Low Floor,Medium,residential,pune,2.0,0,1.0
5.5,2980.0,3.0,3.0,resale,Mid Floor,Low,flat,bangalore,2.0,0,1.0
0.78,894.0,2.0,2.0,new property,High Floor,Low,flat,bangalore,2.0,0,0.0
0.32,500.0,2.0,2.0,resale,Mid Floor,Low,flat,beyond thane,2.0,0,0.0
0.53,727.0,2.0,2.0,resale,High Floor,Low,flat,beyond thane,2.0,0,0.0
1.15,1360.0,3.0,3.0,new property,High Floor,Low,villa,bangalore,3.0,0,0.0
0.55,720.0,2.0,2.0,resale,Mid Floor,Low,flat,beyond thane,2.0,1,0.0
14.25,3600.0,4.0,5.0,resale,Low Floor,Medium,builder-floor,new delhi,3.0,0,1.0
5.19,2150.0,4.0,4.0,new property,High Floor,Medium,flat,bangalore,3.0,0,1.0
1.2,857.0,2.0,2.0,resale,High Floor,Low,flat,thane,2.0,1,0.0
0.62,587.0,2.0,2.0,resale,Mid Floor,Medium,flat,navi mumbai,2.0,0,0.0
2.65,1620.0,3.0,3.0,resale,Mid Floor,Low,flat,new delhi,4.0,1,0.0
2.1,1000.0,3.0,2.0,resale,Low Floor,Low,flat,new delhi,3.0,2,0.0
4.3,1457.0,3.0,3.0,new property,High Floor,Medium,flat,mumbai,3.0,0,0.0
3.95,2100.0,4.0,5.0,resale,Mid Floor,Medium,builder-floor,gurgaon,2.0,1,1.0
0.65,775.0,2.0,2.0,resale,Low Floor,Low,flat,thane,2.0,1,0.0
0.9,1000.0,3.0,2.0,resale,Mid Floor,Low,flat,noida,3.0,0,0.0
0.78,586.0,2.0,2.0,resale,High Floor,Low,flat,thane,2.0,0,0.0
0.85,692.0,3.0,2.0,resale,Low Floor,Low,builder-floor,new delhi,2.0,0,0.0
0.45,1000.0,2.0,2.0,resale,Mid Floor,Low,builder-floor,noida,2.0,0,0.0
1.3,1016.0,3.0,3.0,resale,Low Floor,Medium,builder-floor,bangalore,3.0,1,0.0
2.7,1404.0,3.0,2.0,resale,Mid Floor,Medium,flat,bangalore,3.0,1,0.0
1.2,1023.0,3.0,2.0,resale,High Floor,Low,flat,greater noida,5.0,0,0.0
0.41,670.0,2.0,2.0,resale,Mid Floor,Medium,flat,beyond thane,2.0,0,1.0
1.53,1424.0,3.0,3.0,new property,Mid Floor,Medium,flat,bangalore,2.0,0,1.0
2.6,1670.0,4.0,4.0,resale,Mid Floor,Medium,flat,gurgaon,3.0,1,0.0
2.55,2800.0,4.0,4.0,new property,High Floor,High,villa,bangalore,2.0,0,0.0
1.5,1400.0,3.0,2.0,resale,Mid Floor,Low,flat,noida,3.0,0,1.0
1.3,956.0,2.0,2.0,resale,Low Floor,Low,flat,noida,3.0,1,0.0
1.65,850.0,2.0,2.0,resale,Mid Floor,Low,flat,mumbai,2.0,0,0.0
2.21,1900.0,3.0,2.0,resale,Mid Floor,Medium,flat,new delhi,3.0,0,1.0
3.85,1109.0,4.0,3.0,new property,High Floor,Medium,flat,thane,3.0,0,0.0
1.25,875.0,2.0,2.0,resale,Low Floor,Low,flat,bangalore,2.0,0,0.0
1.4,844.0,2.0,3.0,new property,High Floor,Low,flat,navi mumbai,3.0,1,0.0
0.38,702.0,2.0,2.0,resale,Mid Floor,Low,flat,bangalore,2.0,1,0.0
0.82,650.0,2.0,2.0,resale,Low Floor,Low,flat,navi mumbai,3.0,0,0.0
0.83,1300.0,3.0,3.0,resale,Mid Floor,Medium,flat,bangalore,3.0,0,0.0
1.1,928.0,2.0,2.0,resale,Low Floor,Low,flat,bangalore,2.0,1,0.0
3.2,931.0,2.0,2.0,resale,Mid Floor,Medium,flat,mumbai,2.0,0,0.0
0.72,1125.0,2.0,2.0,resale,Mid Floor,Low,flat,bangalore,2.0,0,0.0
2.0,1000.0,3.0,2.0,resale,Low Floor,Medium,flat,new delhi,3.0,0,0.0
0.36,999.0,2.0,2.0,resale,High Floor,Low,flat,bangalore,2.0,1,0.0
1.68,1154.0,3.0,3.0,resale,Low Floor,Low,builder-floor,new delhi,3.0,0,0.0
2.15,1308.0,3.0,3.0,resale,High Floor,High,flat,bangalore,3.0,1,1.0
0.4,855.0,2.0,2.0,resale,Low Floor,Low,builder-floor,new delhi,2.0,1,0.0
20.0,2300.0,4.0,4.0,new property,Mid Floor,High,flat,new delhi,3.0,1,1.0
0.95,727.0,2.0,2.0,resale,Mid Floor,Low,flat,navi mumbai,2.0,0,0.0
1.5,1790.0,3.0,3.0,resale,Low Floor,Medium,flat,bangalore,3.0,1,1.0
3.0,1800.0,3.0,3.0,new property,Mid Floor,Medium,builder-floor,new delhi,3.0,0,1.0
2.35,2038.0,4.0,4.0,resale,High Floor,High,flat,noida,3.0,1,1.0
0.6,636.0,2.0,2.0,resale,Mid Floor,Low,flat,noida,2.0,0,0.0
1.1,939.0,2.0,2.0,resale,Low Floor,Low,flat,noida,2.0,1,0.0
1.5,1200.0,3.0,2.0,resale,High Floor,Low,flat,noida,4.0,0,1.0
0.58,850.0,3.0,2.0,new property,Low Floor,Low,builder-floor,new delhi,3.0,1,0.0
4.0,4500.0,5.0,6.0,resale,High Floor,Medium,flat,noida,6.0,2,1.0
2.3,922.0,3.0,3.0,resale,Mid Floor,Medium,flat,navi mumbai,3.0,1,0.0
2.74,2788.0,4.0,4.0,new property,High Floor,High,villa,bangalore,2.0,0,1.0
0.68,641.0,2.0,2.0,resale,Mid Floor,Low,flat,beyond thane,2.0,1,0.0
2.9,2800.0,6.0,6.0,resale,Mid Floor,High,residential,bangalore,4.0,1,0.0
2.16,1173.0,3.0,3.0,resale,Low Floor,Medium,flat,noida,4.0,0,0.0
0.85,749.0,2.0,2.0,resale,Mid Floor,Low,flat,navi mumbai,2.0,0,0.0
4.25,3450.0,4.0,4.0,resale,Mid Floor,Medium,flat,bangalore,3.0,0,1.0
1.45,1408.0,3.0,3.0,resale,High Floor,Medium,flat,bangalore,3.0,0,0.0
2.3,2258.0,4.0,4.0,resale,Mid Floor,Medium,flat,bangalore,3.0,2,0.0
0.96,1350.0,3.0,2.0,resale,Mid Floor,Medium,flat,greater noida,4.0,0,0.0
2.0,2400.0,7.0,6.0,resale,High Floor,High,residential,bangalore,4.0,1,0.0
1.1,960.0,2.0,2.0,resale,High Floor,Low,residential,bangalore,2.0,0,0.0
3.0,1515.0,3.0,3.0,resale,Mid Floor,Medium,flat,noida,3.0,0,0.0
1.96,1325.0,3.0,3.0,new property,High Floor,Low,flat,pune,2.0,0,0.0
0.99,593.0,2.0,2.0,resale,Mid Floor,Low,flat,greater noida,4.0,0,0.0
1.8,1700.0,3.0,4.0,resale,High Floor,High,flat,bangalore,2.0,0,1.0
3.27,1535.0,3.0,3.0,resale,Mid Floor,Low,flat,bangalore,2.0,0,1.0
0.79,727.0,2.0,2.0,new property,High Floor,Low,flat,bangalore,2.0,0,0.0
1.52,1470.0,3.0,3.0,new property,Low Floor,Medium,flat,greater noida,3.0,2,1.0
1.75,630.0,2.0,2.0,resale,High Floor,Low,flat,thane,2.0,0,0.0
0.65,980.0,2.0,2.0,resale,Low Floor,Low,flat,bangalore,2.0,1,0.0
0.52,800.0,2.0,2.0,resale,Mid Floor,Low,flat,pune,2.0,0,0.0
0.37,691.0,2.0,2.0,resale,Low Floor,Low,flat,beyond thane,2.0,0,0.0
0.7,800.0,2.0,2.0,resale,Mid Floor,Low,flat,beyond thane,2.0,1,0.0
1.25,3600.0,10.0,3.0,resale,High Floor,Medium,residential,new delhi,4.0,0,0.0
0.99,681.0,2.0,2.0,resale,High Floor,Medium,flat,gurgaon,2.0,1,0.0
1.9,636.0,2.0,2.0,resale,Mid Floor,Low,flat,mumbai,2.0,0,0.0
0.31,720.0,2.0,2.0,resale,Low Floor,Low,builder-floor,noida,2.0,1,0.0
0.88,739.0,2.0,2.0,resale,High Floor,Medium,flat,greater noida,2.0,2,0.0
0.5,709.0,2.0,2.0,resale,Mid Floor,Low,flat,beyond thane,2.0,0,0.0
0.68,655.0,2.0,2.0,resale,Low Floor,Low,flat,pune,2.0,0,0.0
1.8,1200.0,3.0,2.0,resale,Low Floor,Medium,flat,new delhi,2.0,1,1.0
1.2,1288.0,3.0,3.0,resale,High Floor,Low,flat,noida,4.0,0,1.0
0.76,855.0,2.0,2.0,resale,Mid Floor,Low,flat,pune,2.0,0,0.0
0.35,700.0,2.0,2.0,resale,Low Floor,Low,flat,bangalore,2.0,1,0.0
1.85,1914.0,4.0,4.0,resale,Mid Floor,Low,flat,gurgaon,3.0,1,0.0
0.72,756.0,2.0,2.0,resale,Mid Floor,Low,flat,navi mumbai,2.0,0,0.0
0.41,553.0,2.0,2.0,resale,Mid Floor,Low,flat,beyond thane,2.0,0,0.0
0.9,778.0,2.0,2.0,resale,High Floor,Low,flat,navi mumbai,2.0,0,0.0
4.0,1600.0,3.0,3.0,resale,High Floor,Medium,flat,thane,3.0,2,1.0
0.65,1100.0,2.0,2.0,resale,Mid Floor,Low,flat,new delhi,2.0,0,0.0
0.54,671.0,2.0,2.0,resale,Mid Floor,Low,flat,bangalore,2.0,1,0.0
2.04,1611.0,3.0,3.0,new property,High Floor,Medium,flat,pune,3.0,0,0.0
0.75,847.0,2.0,2.0,resale,Low Floor,Low,flat,pune,2.0,2,0.0
0.56,612.0,2.0,2.0,resale,Mid Floor,Low,flat,navi mumbai,2.0,0,0.0
1.55,1046.0,3.0,3.0,resale,Low Floor,Low,flat,thane,3.0,1,0.0
1.0,830.0,2.0,2.0,resale,Low Floor,Low,flat,bangalore,2.0,0,0.0
0.75,634.0,2.0,2.0,resale,Low Floor,Low,flat,beyond thane,2.0,2,0.0
7.0,2170.0,3.0,4.0,resale,High Floor,High,villa,bangalore,3.0,0,1.0
3.0,928.0,3.0,3.0,resale,High Floor,Low,flat,bangalore,3.0,0,0.0
0.8,777.0,2.0,2.0,resale,High Floor,Low,villa,beyond thane,2.0,0,0.0
0.93,1091.0,3.0,3.0,resale,Low Floor,Medium,flat,greater noida,3.0,0,0.0
4.8,1280.0,3.0,4.0,resale,Mid Floor,High,flat,mumbai,3.0,0,1.0
0.25,500.0,2.0,2.0,resale,Low Floor,Low,flat,beyond thane,2.0,0,0.0
0.73,815.0,2.0,2.0,resale,Low Floor,Low,flat,pune,2.0,0,0.0
3.0,2145.0,3.0,4.0,new property,Low Floor,Medium,flat,bangalore,3.0,0,1.0
1.1,464.0,2.0,2.0,resale,Mid Floor,Low,flat,navi mumbai,2.0,0,0.0
0.95,765.0,3.0,2.0,resale,Mid Floor,Low,flat,bangalore,3.0,0,0.0
1.0,1168.0,3.0,2.0,resale,Mid Floor,Medium,flat,bangalore,3.0,1,0.0
0.45,479.0,2.0,2.0,new property,High Floor,Low,flat,beyond thane,2.0,1,0.0
0.9,1080.0,3.0,2.0,resale,High Floor,Low,flat,noida,2.0,0,1.0
1.5,680.0,3.0,2.0,resale,Low Floor,Low,residential,bangalore,3.0,0,0.0
0.8,432.0,2.0,2.0,resale,Mid Floor,Low,flat,navi mumbai,2.0,1,0.0
0.31,720.0,2.0,2.0,resale,High Floor,Low,flat,bangalore,2.0,0,0.0
0.8,576.0,2.0,2.0,resale,Low Floor,Low,flat,beyond thane,2.0,0,0.0
0.43,574.0,2.0,2.0,resale,Mid Floor,Low,flat,pune,2.0,1,0.0
0.59,800.0,2.0,2.0,resale,Mid Floor,Low,flat,pune,2.0,0,0.0
1.15,1064.0,3.0,3.0,new property,High Floor,Medium,flat,pune,2.0,0,0.0
3.87,2088.0,4.0,5.0,new property,High Floor,Low,villa,bangalore,3.0,0,1.0
0.7,739.0,2.0,2.0,resale,Low Floor,Low,flat,greater noida,2.0,0,0.0
0.77,791.0,2.0,2.0,new property,High Floor,Medium,flat,thane,2.0,0,0.0
0.82,778.0,2.0,2.0,resale,High Floor,Low,flat,bangalore,2.0,0,0.0
2.1,1926.0,4.0,4.0,new property,High Floor,Medium,villa,bangalore,3.0,0,0.0
1.05,1299.0,7.0,4.0,resale,Low Floor,Medium,residential,greater noida,4.0,0,1.0
6.75,3040.0,4.0,4.0,resale,High Floor,Medium,residential,bangalore,2.0,1,0.0
1.3,1500.0,3.0,3.0,resale,Low Floor,Low,flat,bangalore,3.0,1,1.0
0.53,912.0,2.0,2.0,new property,Mid Floor,Low,flat,bangalore,2.0,0,0.0
0.65,606.0,2.0,2.0,resale,Mid Floor,Low,flat,greater noida,2.0,1,0.0
1.44,1085.0,3.0,2.0,resale,Low Floor,Low,flat,bangalore,2.0,0,0.0
1.2,731.0,2.0,2.0,new property,Low Floor,Low,builder-floor,new delhi,2.0,0,1.0
1.1,1200.0,3.0,3.0,resale,Low Floor,Medium,flat,bangalore,3.0,2,0.0
2.76,1883.0,4.0,5.0,resale,High Floor,Low,flat,noida,4.0,1,1.0
1.03,1020.0,3.0,3.0,new property,High Floor,Medium,flat,pune,3.0,0,0.0
4.0,3500.0,4.0,5.0,resale,High Floor,Medium,villa,bangalore,3.0,2,0.0
1.12,1338.0,3.0,3.0,resale,Mid Floor,Low,flat,bangalore,2.0,0,0.0
0.9,590.0,2.0,2.0,resale,Mid Floor,Low,flat,thane,2.0,0,0.0
0.8,793.0,2.0,2.0,new property,High Floor,Low,flat,beyond thane,2.0,0,0.0
0.78,655.0,2.0,2.0,resale,Mid Floor,Low,flat,navi mumbai,2.0,0,0.0
0.65,744.0,2.0,2.0,resale,Low Floor,Low,flat,bangalore,2.0,1,0.0
1.67,1185.0,3.0,3.0,resale,Mid Floor,Medium,flat,pune,2.0,1,1.0
1.5,1250.0,3.0,3.0,resale,High Floor,Medium,flat,noida,3.0,0,0.0
0.9,827.0,2.0,2.0,resale,Mid Floor,Low,flat,greater noida,3.0,0,0.0
8.4,1260.0,3.0,4.0,new property,High Floor,Medium,flat,mumbai,3.0,1,0.0
0.55,750.0,2.0,2.0,resale,Mid Floor,Low,flat,noida,2.0,0,0.0
0.75,650.0,4.0,4.0,resale,High Floor,Medium,residential,new delhi,3.0,2,0.0
3.5,2500.0,5.0,5.0,resale,Low Floor,Medium,residential,noida,3.0,0,1.0
1.7,1400.0,3.0,2.0,resale,Low Floor,Low,flat,new delhi,3.0,0,0.0
1.6,1730.0,3.0,4.0,resale,Mid Floor,High,flat,gurgaon,3.0,0,1.0
2.88,1500.0,3.0,3.0,resale,Mid Floor,Medium,flat,new delhi,4.0,1,1.0
0.48,514.0,2.0,2.0,resale,Low Floor,Low,flat,beyond thane,2.0,1,0.0
1.43,941.0,2.0,2.0,resale,Mid Floor,Medium,flat,bangalore,2.0,0,1.0
11.5,3200.0,4.0,5.0,resale,High Floor,High,residential,bangalore,3.0,1,1.0
3.0,1704.0,3.0,4.0,resale,Low Floor,Medium,flat,bangalore,3.0,0,0.0
7.0,3700.0,4.0,6.0,resale,High Floor,Medium,villa,bangalore,4.0,1,1.0
2.65,810.0,3.0,2.0,resale,Mid Floor,High,flat,mumbai,3.0,0,0.0
4.0,1188.0,3.0,3.0,resale,Low Floor,Medium,flat,thane,3.0,1,0.0
2.25,3600.0,10.0,8.0,resale,High Floor,High,residential,bangalore,5.0,0,0.0
0.75,778.0,2.0,2.0,resale,High Floor,Low,flat,navi mumbai,2.0,0,0.0
8.5,2160.0,3.0,3.0,resale,High Floor,Medium,residential,bangalore,2.0,0,0.0
0.58,951.0,2.0,2.0,resale,Mid Floor,Low,flat,beyond thane,2.0,2,0.0
1.15,900.0,3.0,2.0,resale,Low Floor,Low,flat,new delhi,2.0,1,0.0
1.3,828.0,2.0,2.0,resale,Mid Floor,Low,flat,thane,2.0,0,0.0
1.62,857.0,2.0,2.0,new property,High Floor,Low,flat,navi mumbai,2.0,0,0.0
2.86,1920.0,4.0,4.0,resale,High Floor,Medium,villa,bangalore,3.0,1,0.0
2.0,978.0,2.0,2.0,resale,High Floor,Low,villa,greater noida,2.0,0,0.0
1.83,826.0,2.0,2.0,resale,Mid Floor,Low,builder-floor,navi mumbai,2.0,2,0.0
0.95,922.0,3.0,3.0,resale,Mid Floor,Low,flat,pune,3.0,0,0.0
1.15,1050.0,3.0,2.0,resale,Low Floor,Low,flat,bangalore,2.0,2,0.0
1.0,834.0,3.0,2.0,resale,High Floor,Low,flat,bangalore,3.0,0,0.0
1.18,810.0,2.0,2.0,resale,Low Floor,Low,flat,bangalore,2.0,1,0.0
1.5,1575.0,3.0,3.0,resale,Low Floor,Medium,builder-floor,new delhi,3.0,1,1.0
2.1,1001.0,3.0,2.0,resale,High Floor,Low,flat,bangalore,3.0,0,1.0
3.51,2000.0,4.0,3.0,resale,Mid Floor,Medium,flat,new delhi,4.0,1,0.0
0.32,600.0,3.0,2.0,resale,Low Floor,Low,flat,pune,3.0,1,0.0
1.55,1150.0,3.0,3.0,new property,Low Floor,Medium,flat,greater noida,4.0,2,0.0
0.6,870.0,2.0,2.0,resale,Low Floor,Low,flat,navi mumbai,2.0,2,0.0
1.0,1395.0,4.0,4.0,resale,High Floor,Medium,flat,noida,4.0,0,0.0
0.9,1057.0,3.0,2.0,resale,High Floor,Low,flat,greater noida,3.0,1,0.0
1.34,1042.0,3.0,3.0,new property,High Floor,Medium,flat,bangalore,2.0,0,0.0
1.0,778.0,2.0,2.0,resale,Low Floor,Low,flat,thane,2.0,2,0.0
0.9,1163.0,2.0,2.0,resale,Low Floor,Low,flat,noida,4.0,0,1.0
1.75,1300.0,3.0,3.0,new property,Mid Floor,High,flat,bangalore,2.0,0,0.0
6.0,1735.0,3.0,3.0,resale,Low Floor,Low,flat,bangalore,2.0,0,0.0
1.85,1123.0,3.0,3.0,resale,Low Floor,Medium,flat,bangalore,2.0,2,0.0
1.58,1370.0,3.0,3.0,resale,Low Floor,Medium,flat,new delhi,2.0,1,0.0
0.7,753.0,2.0,2.0,resale,High Floor,Medium,flat,greater noida,2.0,1,0.0
0.55,885.0,2.0,2.0,resale,Mid Floor,Low,builder-floor,bangalore,2.0,0,0.0
0.95,661.0,2.0,2.0,resale,Mid Floor,Low,flat,navi mumbai,2.0,2,0.0
6.1,935.0,2.0,2.0,resale,Low Floor,Low,flat,noida,2.0,2,0.0
0.46,680.0,2.0,2.0,resale,Mid Floor,Low,flat,bangalore,2.0,0,0.0
0.75,970.0,2.0,2.0,resale,Low Floor,Low,flat,pune,2.0,1,0.0
1.65,797.0,2.0,2.0,resale,Mid Floor,Low,flat,thane,2.0,2,0.0
1.25,752.0,2.0,2.0,resale,High Floor,Medium,flat,thane,2.0,1,0.0
2.65,3641.0,4.0,5.0,new property,High Floor,Medium,villa,greater noida,3.0,1,1.0
4.25,1672.0,4.0,5.0,resale,Mid Floor,High,flat,pune,3.0,2,0.0
0.52,404.0,2.0,2.0,resale,Mid Floor,Low,flat,beyond thane,2.0,1,0.0
0.72,755.0,2.0,2.0,resale,Low Floor,Low,flat,beyond thane,2.0,2,0.0
0.55,1450.0,3.0,2.0,new property,Low Floor,Low,builder-floor,greater noida,3.0,1,0.0
0.47,900.0,3.0,2.0,new property,Low Floor,Low,builder-floor,new delhi,2.0,0,0.0
5.69,1258.0,3.0,3.0,new property,Low Floor,Low,flat,mumbai,2.0,1,0.0
0.7,698.0,2.0,2.0,resale,Low Floor,Low,flat,beyond thane,2.0,2,0.0
0.45,1000.0,3.0,2.0,resale,Low Floor,Low,flat,greater noida,4.0,2,1.0
2.61,1550.0,3.0,3.0,resale,Mid Floor,High,flat,noida,4.0,1,1.0
0.65,628.0,2.0,2.0,resale,Mid Floor,Medium,flat,beyond thane,2.0,0,1.0
5.49,750.0,2.0,2.0,resale,Low Floor,Medium,flat,mumbai,2.0,1,1.0
3.1,2300.0,4.0,4.0,new property,Low Floor,Medium,builder-floor,gurgaon,2.0,0,1.0
3.31,1315.0,3.0,3.0,resale,Mid Floor,Medium,flat,mumbai,3.0,2,0.0
0.95,600.0,2.0,2.0,resale,Low Floor,Low,flat,navi mumbai,2.0,2,1.0
0.38,437.0,2.0,2.0,resale,Mid Floor,Low,flat,beyond thane,2.0,0,0.0
