price,carpet_area,bedroom,bathroom,transaction_type,floor_category,luxury_category,property_type,regions,balconies_iter,furnished_status_imputed,additional_room
2.35,1593.0,3.0,3.0,resale,Mid Floor,Medium,flat,pune,2.0,1,1.0
4.5,1851.0,4.0,5.0,resale,Mid Floor,Medium,flat,bangalore,4.0,0,1.0
2.1,3200.0,5.0,6.0,resale,Low Floor,High,residential,bangalore,2.0,1,0.0
1.8,1291.0,3.0,2.0,new property,High Floor,Medium,villa,greater noida,3.0,1,1.0
2.7,823.0,2.0,2.0,new property,High Floor,Medium,flat,mumbai,2.0,1,1.0
1.45,1152.0,3.0,3.0,resale,Low Floor,High,flat,thane,3.0,1,0.0
0.4,648.0,2.0,2.0,resale,Low Floor,Low,flat,navi mumbai,2.0,2,0.0
1.15,859.0,2.0,2.0,resale,Mid Floor,Low,flat,gurgaon,2.0,0,0.0
3.5,2100.0,3.0,3.0,resale,Low Floor,Medium,flat,gurgaon,2.0,2,1.0
0.9,1006.0,3.0,2.0,resale,Mid Floor,Low,flat,beyond thane,3.0,2,0.0
0.8,1295.0,2.0,2.0,resale,Low Floor,Low,flat,greater noida,2.0,0,1.0
5.3,4518.0,4.0,5.0,resale,Mid Floor,Medium,builder-floor,gurgaon,2.0,1,1.0
3.85,1608.0,3.0,3.0,resale,Mid Floor,High,flat,gurgaon,3.0,1,1.0
1.9,652.0,3.0,3.0,resale,High Floor,Low,flat,thane,3.0,2,0.0
2.22,818.0,3.0,3.0,new property,High Floor,High,flat,mumbai,3.0,0,1.0
2.5,736.0,3.0,3.0,new property,High Floor,Medium,flat,mumbai,3.0,0,1.0
1.3,840.0,2.0,2.0,resale,Mid Floor,Low,flat,bangalore,2.0,2,0.0
3.22,1200.0,3.0,2.0,resale,High Floor,Medium,villa,bangalore,3.0,0,1.0
1.2,1160.0,3.0,3.0,resale,Low Floor,Medium,flat,bangalore,3.0,1,0.0
6.0,4080.0,5.0,4.0,resale,High Floor,Low,villa,bangalore,3.0,1,1.0
0.68,1095.0,2.0,2.0,resale,Low Floor,Low,flat,bangalore,2.0,1,0.0
1.68,1133.0,3.0,2.0,resale,High Floor,Low,flat,gurgaon,2.0,0,0.0
3.3,1500.0,3.0,3.0,resale,High Floor,Low,flat,bangalore,3.0,0,1.0
3.55,1045.0,3.0,4.0,new property,High Floor,High,flat,mumbai,3.0,0,1.0
1.0,822.0,2.0,2.0,resale,Mid Floor,Low,flat,beyond thane,2.0,1,0.0
1.54,659.0,2.0,2.0,new property,High Floor,Low,flat,mumbai,2.0,0,0.0
0.9,720.0,2.0,2.0,resale,High Floor,Low,residential,bangalore,2.0,0,0.0
0.72,802.0,2.0,2.0,resale,Low Floor,Low,flat,bangalore,2.0,1,0.0
1.22,1000.0,2.0,2.0,resale,High Floor,Medium,flat,bangalore,2.0,0,0.0
0.66,871.0,2.0,2.0,resale,Low Floor,Low,flat,noida,4.0,1,0.0
0.61,962.0,3.0,2.0,resale,Low Floor,Low,flat,new delhi,2.0,0,0.0
1.62,690.0,2.0,2.0,new property,High Floor,Low,flat,thane,2.0,0,1.0
0.72,399.0,2.0,2.0,resale,Mid Floor,Low,flat,beyond thane,2.0,1,0.0
2.15,1500.0,3.0,3.0,resale,Mid Floor,High,flat,bangalore,3.0,0,0.0
5.5,3600.0,6.0,6.0,resale,High Floor,High,residential,gurgaon,2.0,1,1.0
3.1,1476.0,3.0,3.0,resale,Mid Floor,Medium,flat,bangalore,2.0,1,0.0
4.0,1429.0,3.0,3.0,new property,Mid Floor,Low,flat,navi mumbai,3.0,0,0.0
0.32,432.0,2.0,2.0,resale,Low Floor,Low,flat,beyond thane,2.0,0,0.0
2.5,1680.0,3.0,3.0,resale,High Floor,Medium,villa,bangalore,2.0,0,1.0
